naziv,sifra,marka,jedinica_mjere,cijena_za_jedinicu_mjere,maloprodajna_cijena,posebni_oblik_prodaje,naziv_posebnog_oblika_prodaje,sidrena_cijena,barkod,dostupnost
Siguronosni rukohvat 815080 - 40 cm,siguronosni-rukohvat-815080-40-cm,Identites,,,102.00,NE,,102.00,,nedostupno
Siguronosni rukohvat 815080 - 45 cm,siguronosni-rukohvat-815080-45-cm,Identites,,,10.90,NE,,10.90,,dostupno
Siguronosni rukohvat 815080 - 60 cm,siguronosni-rukohvat-815080-60-cm,Identites,,,15.00,NE,,15.00,,dostupno
Simplex Lift stolić za hranjenje 823121,OXY-823121,Identites,,,95.00,NE,,95.00,,dostupno
Sklopiva hodalica bez kotača 826068,OXY-826068,Identites,,,68.00,NE,,68.00,,dostupno
Sklopivi štap alarm svjetlo,816091,Identites,,,25.00,NE,,25.00,,dostupno
Sklopivi štap Cvijet 816069.B,OXY-816069.B,Identites,,,25.00,NE,,25.00,,dostupno
Sklopivi štap Kava 816068,OXY-816068,Identites,,,25.00,NE,,25.00,,dostupno
Sklopivi štap Leopard 816069LE,OXY-816069LE,Identites,,,25.00,NE,,25.00,,dostupno
Skuter Traveler Maxi - Crna,824049NOIR,Identites,,,3199.00,NE,,3199.00,,nedostupno
Skuter Traveler Maxi - Crvena,824049ROUGE,Identites,,,3199.00,NE,,3199.00,,nedostupno
"SomnoSept sredstvo za čišćenje CPAP opreme, 400mL",01CA0001,,,,13.17,NE,,13.17,,nedostupno
Sprava za navlačenje čarapa 819175,OXY-819175,Identites,,,29.90,NE,,29.90,,dostupno
Sprej za hlađenje,802063,Identites,,,7.50,NE,,7.50,,dostupno
Stepenice za kadu Moorea 812225,OXY-812225,Identites,,,45.00,NE,,45.00,,dostupno
Stolica za tuširanje Bora 812267,OXY-8122267,Identites,,,55.90,NE,,55.90,,dostupno
